checkpoint_path,status,updated_at,checkpoint_type,branch,ssl_objective,segment_ssl_method,base_seed,effective_seed,fold_index,test_subject_id,excluded_subject_id,ssl_data_scope,historical_unlabeled_pretraining,segment_feature_kind,supervised_feature_kind,encoder_kind,embedding_dim,dropout,projection_dim,pretrain_epochs,pretrain_lr,batch_size,feature_mask_prob,noise_std,lambda_latent,lambda_local,n_ssl_segments,source_feature_manifest_hash,graph_smoothness_weight,qeeg_auxiliary_enabled,lambda_qeeg,qeeg_feature_name,qeeg_scaler_hash,qeeg_fit_subject_ids,data_scope,seed
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold01_test_sub05_emb32_pre20_all-patient.pt,saved,2026-05-27T14:00:19.349139+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,2,1,sub05,sub05,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16319,5aef0274fa5f86085251857e46ee14213e980d985754556581f8fb7c27dde0b5,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold10_test_sub16_emb32_pre20_all-patient.pt,saved,2026-05-27T14:39:23.294377+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,11,10,sub16,sub16,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16355,b630688bb291072808548532cb35b4ba764848378f4a3c348445bd8e867be86c,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold11_test_sub17_emb32_pre20_all-patient.pt,saved,2026-05-27T14:43:28.801572+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,12,11,sub17,sub17,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16322,610157550c726ed66edb582a53bc1773bdf5ebd89b8d32a09605bb0cf40cd495,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold12_test_sub18_emb32_pre20_all-patient.pt,saved,2026-05-27T14:47:35.594423+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,13,12,sub18,sub18,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16392,43d1ab1b3a83f4f6cad97eae059263489af291db7ca35b7c4226722ba134b6dc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold13_test_sub20_emb32_pre20_all-patient.pt,saved,2026-05-27T14:51:20.215566+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,14,13,sub20,sub20,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16432,2fcf399eb65f919314d8d1dfc1c2165f1e6449f5d430428e620858fbf04f4223,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold14_test_sub22_emb32_pre20_all-patient.pt,saved,2026-05-27T14:55:00.473594+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,15,14,sub22,sub22,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16411,9c804e5a97e7f4d627ebc0cd810a3edecaadb62fcd8accb1a931a1721e4ab7fc,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold15_test_sub24_emb32_pre20_all-patient.pt,saved,2026-05-27T14:58:39.801536+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,16,15,sub24,sub24,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16385,c62804d793022bc621b65d605bfb533ee46844e008b52758838a138cbb810f93,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold16_test_sub27_emb32_pre20_all-patient.pt,saved,2026-05-27T15:02:18.568548+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,17,16,sub27,sub27,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16299,51715e7eb09e57de0c3b8922e689e6458abc99faf48da0ba9f32db0a0eb99f6d,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold17_test_sub28_emb32_pre20_all-patient.pt,saved,2026-05-27T15:05:58.457176+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,18,17,sub28,sub28,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16344,63a738abb31758774ce24038c6de900dfc6d0aafdd10929f59e845db3a2e632c,,,,,,,,
E:\AAAProjectList\EEG_PredictStokeDLModel\results\checkpoints\ssl_encoders\segssl_barlow_psd_seed1_fold18_test_sub29_emb32_pre20_all-patient.pt,saved,2026-05-27T15:09:41.094384+00:00,segment_ssl_encoder,psd,barlow,segment_barlow,1,19,18,sub29,sub29,all-patient,True,psd,psd-fc-wpli,cnn,32,0.0,32,20,0.001,16,0.03,0.02,1.0,0.1,16460,d92882b910931e0e355c908525d02f8aa412515e8cd0c58c9330fc1075f4b9fa,,,,,,,,
