model_family,model_name,input_features,feature_selection,inference_type,result_role,n_subjects,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,brier_score
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.3777777777777777,0.5090115418637091,0.2709644736842104
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.3166666666666667,0.4447394220846233,0.2874486842105263
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_linear_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666667,0.6665509928667823,0.2507348722963763
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_linear_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.6777777777777778,0.6742307692307692,0.2161673558607981
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_rbf_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.2105263157894736,0.2,0.4,0.0,0.3076923076923077,0.3478260869565217,0.1444444444444444,0.3938633128996905,0.3086499585572395
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_rbf_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6944444444444444,0.5,0.8888888888888888,0.8333333333333334,0.625,0.7777777777777778,0.7713383838383838,0.2186767559889566
Traditional ML,ML_EEG_updated_no_selector_gaussian_nb,PSD+WPLI EO+EC,none,single LOSO prediction per subject,exploratory_ml_reference,19,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6333333333333334,0.6105263157894736,0.3684210526315789
Traditional ML,ML_EEG_updated_no_selector_knn,PSD+WPLI EO+EC,none,single LOSO prediction per subject,exploratory_ml_reference,19,0.4736842105263157,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.6833333333333333,0.7651315789473684,0.3040935672514619
Traditional ML,ML_EEG_updated_no_selector_random_forest,PSD+WPLI EO+EC,none,single LOSO prediction per subject,exploratory_ml_reference,19,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.3777777777777777,0.5090115418637091,0.2709644736842104
Traditional ML,ML_EEG_updated_no_selector_svm_linear,PSD+WPLI EO+EC,none,single LOSO prediction per subject,exploratory_ml_reference,19,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666667,0.6665509928667823,0.2507348722963763
Traditional ML,ML_EEG_updated_no_selector_svm_rbf,PSD+WPLI EO+EC,none,single LOSO prediction per subject,exploratory_ml_reference,19,0.2105263157894736,0.2,0.4,0.0,0.3076923076923077,0.3478260869565217,0.1444444444444444,0.3938633128996905,0.3086499585572395
Traditional ML,ML_EEG_updated_selectk100_gaussian_nb,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.4705882352941176,0.6222222222222222,0.601017316017316,0.4736842105263134
Traditional ML,ML_EEG_updated_selectk100_knn,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.6055555555555556,0.5838888888888889,0.3333333333333333
Traditional ML,ML_EEG_updated_selectk100_logistic_l1,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444,0.5495546038928392,0.3068675593658492
Traditional ML,ML_EEG_updated_selectk100_logistic_l2,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.7666666666666666,0.7934371184371183,0.2071648198306706
Traditional ML,ML_EEG_updated_selectk100_random_forest,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.3166666666666667,0.4447394220846233,0.2874486842105263
Traditional ML,ML_EEG_updated_selectk100_svm_linear,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,exploratory_ml_reference,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.6777777777777778,0.6742307692307692,0.2161673558607981
